UF;Pessoas indígenas;População;Pessoas indígenas em terras indígenas;Pessoas indígenas fora terras indíginas;Região
Rondônia;21153;1581016;11537;9616;Norte
Acre;31699;830026;19588;12111;Norte
Amazonas;490854;3941175;149074;341780;Norte
Roraima;97320;636303;71412;25908;Norte
Pará;80974;8116132;41819;39155;Norte
Amapá;11334;733508;7853;3481;Norte
Tocantins;20023;1511459;15213;4810;Norte
Maranhão;57214;6775152;41726;15488;Nordeste
Piauí;7198;3269200;114;7084;Nordeste
Ceará;56353;8791688;10524;45829;Nordeste
Rio Grande do Norte;11725;3302406;-;11725;Nordeste
Paraíba;30140;3974495;19044;11096;Nordeste
Pernambuco;106634;9058155;34314;72320;Nordeste
Alagoas;25725;3127511;6672;19053;Nordeste
Sergipe;4708;2209558;329;4379;Nordeste
Bahia;229103;14136417;17211;211892;Nordeste
Minas Gerais;36699;20538718;12137;24562;Sudeste
Espírito Santo;14411;3833486;4663;9748;Sudeste
Rio de Janeiro;16964;16054524;539;16425;Sudeste
São Paulo;55295;44420459;4180;51115;Sudeste
Paraná;30460;11443208;13887;16573;Sul
Santa Catarina;21541;7609601;10563;10978;Sul
Rio Grande do Sul;36096;10880506;15724;20372;Sul
Mato Grosso do Sul;116346;2756700;68534;47812;Centro-Oeste
Mato Grosso;58231;3658813;45065;13166;Centro-Oeste
Goiás;19522;7055228;344;19178;Centro-Oeste
Distrito Federal;5813;2817068;-;5813;Centro-Oeste
